PEAK_TIME,AREA.x,SITE,MONTH,TIME,LINE,DATE_HPLC,ROW,PPCP,AREA.y,AREA,CONCENTRATION
8.994466782,3143.545654,YB,JULY,1,LINEE,20180919,ROW4,caffeine,0,3143.545654,0.10659151
9.222466469,3666.851074,YB,JUNE,1,LINEB,20180917,ROW4,caffeine,0,3666.851074,0.139270378
9.128644943,2375.799805,YB,SEPTEMBER,1,LINEE,20180919,ROW4,caffeine,0,2375.799805,0.065543289
19.60569572,10728.01855,BB,JULY,1,LINEC,20180918,ROW3,carbamezapine,6510.740234,4217.27832,0.000544245
19.39108658,7321.89209,BB,JUNE,1,LINEF,20180920,ROW3,carbamezapine,5874.606934,1447.285156,3.61E-05
19.40288162,7902.622559,BD,AUGUST,1,LINEE,20180919,ROW3,carbamezapine,6069.727051,1832.895508,6.57E-05
19.5982399,8397.069336,BD,JULY,1,LINEC,20180918,ROW3,carbamezapine,6510.740234,1886.329102,7.06E-05
19.60362434,8016.893066,BD,SEPTEMBER,1,LINEF,20180920,ROW3,carbamezapine,5874.606934,2142.286133,9.76E-05
19.39406204,21453.24023,BO,SEPTEMBER,1,P2LINEA,20180920,ROW3,carbamezapine,5872.699707,15580.54053,0.014998852
19.59926414,10155.93359,DA,JULY,1,LINEC,20180918,ROW3,carbamezapine,6510.740234,3645.193359,0.00037595
19.59880829,7999.71582,DU,AUGUST,1,LINEF,20180920,ROW3,carbamezapine,5874.606934,2125.108887,9.56E-05
19.59734917,10477.72266,FI,SEPTEMBER,1,LINED,20180919,ROW3,carbamezapine,6428.697266,4049.025391,0.000490822
19.37759018,8206.249023,FLBS,JUNE,1,LINEB,20180917,ROW3,carbamezapine,38085.75,-29879.50098,NA
19.60062027,9390.730469,HO,AUGUST,1,LINEE,20180919,ROW3,carbamezapine,6069.727051,3321.003418,0.000296809
19.38603973,10061.00977,HO,JULY,1,LINEB,20180918,ROW3,carbamezapine,38085.75,-28024.74023,NA
19.3981266,6257.554199,HO,JUNE,1,LINEC,20180918,ROW3,carbamezapine,6510.740234,-253.1860352,NA
19.40550995,9680.293945,HO,SEPTEMBER,1,LINEC,20180918,ROW3,carbamezapine,6510.740234,3169.553711,0.000263654
19.60518456,10227.00488,LK,AUGUST,1,LINEF,20180920,ROW3,carbamezapine,5874.606934,4352.397949,0.000589592
19.604002,9866.84668,LK,JULY,1,LINEB,20180918,ROW3,carbamezapine,38085.75,-28218.90332,NA
19.39592552,7266.09668,LK,JUNE,1,LINEC,20180918,ROW3,carbamezapine,6510.740234,755.3564453,6.93E-06
19.60045815,9348.743164,LK,SEPTEMBER,1,LINED,20180919,ROW3,carbamezapine,6428.697266,2920.045898,0.000214127
19.38143349,6270.17334,SA,AUGUST,1,LINEE,20180919,ROW3,carbamezapine,6069.727051,200.4462891,2.39E-07
19.38435555,8697.875,SA,JULY,1,LINED,20180919,ROW3,carbamezapine,6428.697266,2269.177734,0.000112913
19.3784256,6448.833984,SA,JUNE,1,LINEB,20180917,ROW3,carbamezapine,38085.75,-31636.91602,NA
19.5929451,9975.833008,SJ,JULY,1,LINED,20180919,ROW3,carbamezapine,6428.697266,3547.135742,0.000350814
19.38195419,6865.319824,SJ,JUNE,1,LINEC,20180918,ROW3,carbamezapine,6510.740234,354.5795898,1.02E-06
19.59537315,10527.63184,SJ,SEPTEMBER,1,LINED,20180919,ROW3,carbamezapine,6428.697266,4098.93457,0.000506321
